objectArea,channel1_MeanIntensity,channel2_MeanIntensity,channel1_MeanBackgroundIntensity,channel2_MeanBackgroundIntensity,channel1_IntegratedIntensityAboveBackground,channel2_IntegratedIntensityAboveBackground,ratio_1_over_2,xPosition,yPosition,Var11_1,FileName,Condition
506,31.9238,14.8286,0.0312,0.0374,16137.6582,7484.3932,2.1562,654.0138,315.5791,,L6_021,L6
487,17.6035,10.6255,0.0312,0.0374,8557.6967,5156.4414,1.6596,1097.2279,1468.7207,,L6_021,L6
509,17.9795,9.8594,0.0312,0.0374,9135.6595,4999.4423,1.8273,1397.8369,1110.4165,,L6_021,L6
468,50.9467,25.5623,0.0257,0.0371,23831.0418,11945.8132,1.9949,206.235,851.3098,,L6_022,L6
480,54.0656,23.1746,0.0257,0.0371,25939.1458,11106.0029,2.3356,746.7708,364.5813,,L6_022,L6
287,49.2382,30.1333,0.0257,0.0371,14123.9862,8637.6199,1.6352,999.1777,1726.1672,,L6_022,L6
212,36.1431,17.2806,0.0257,0.0371,7656.8916,3655.6158,2.0946,1249.5,732.717,,L6_022,L6
233,38.0937,18.1841,0.0257,0.0371,8869.8505,4228.2631,2.0978,1632.4635,581.3519,,L6_022,L6
411,25.6785,11.7648,0.0306,0.0411,10541.276,4818.4145,2.1877,354.1265,578.7567,,L6_023,L6
280,10.4848,6.3641,0.0306,0.0411,2927.1749,1770.4441,1.6534,1206.3714,960.35,,L6_023,L6
118,6.5108,4.1165,0.0306,0.0411,764.6575,480.8952,1.5901,1275.5,1204.5,,L6_023,L6
138,6.6357,4.1358,0.0306,0.0411,911.5042,565.0652,1.6131,1291.7971,1193.8043,,L6_023,L6
463,53.575,22.9872,0.0306,0.0411,24791.0458,10624.0206,2.3335,1458.2462,296.8963,,L6_023,L6
207,9.632,4.6257,0.0306,0.0411,1987.4799,948.9966,2.0943,1842.058,232.9758,,L6_023,L6
465,23.8888,13.839,0.033,0.0438,11092.9639,6414.7787,1.7293,428.5957,1333.6366,,L6_024,L6
537,13.6264,8.2028,0.033,0.0438,7299.6556,4381.3679,1.6661,1109.8845,1541.4767,,L6_024,L6
261,16.1764,7.829,0.033,0.0438,4213.4216,2031.9291,2.0736,1253.8697,855.092,,L6_024,L6
370,27.622,12.6539,0.033,0.0438,10207.9258,4665.7517,2.1878,1331.5054,239.3297,,L6_024,L6
288,2.4451,1.9426,0.0464,0.0501,690.8267,545.0341,1.2675,206.6458,878.8924,,L5_025,L5
543,6.4866,7.5657,0.0464,0.0501,3497.0428,4080.9761,0.8569,462.7053,1076.4991,,L5_025,L5
258,2.7804,1.93,0.0464,0.0501,705.3763,485.0188,1.4543,826.9302,625.6744,,L5_025,L5
370,3.3649,3.1976,0.0464,0.0501,1227.8446,1164.5527,1.0543,1533.8405,1320.3784,,L5_025,L5
144,1.6938,1.1337,0.0442,0.0473,237.5452,156.4396,1.5184,158.0417,301.9861,,L5_026,L5
450,2.4398,1.9019,0.0442,0.0473,1078.0282,834.5855,1.2917,874.4489,1292.7244,,L5_026,L5
398,2.7098,1.9244,0.0442,0.0473,1060.9088,747.086,1.4201,1374.2764,951.9447,,L5_026,L5
272,1.7291,1.4108,0.0442,0.0473,458.2873,370.8752,1.2357,1425.4632,649.989,,L5_026,L5
345,2.0579,1.3035,0.0442,0.0473,694.7344,433.393,1.603,1937.3101,99.7681,,L5_026,L5
283,6.0818,3.5867,0.0413,0.0433,1709.4789,1002.7717,1.7048,99.1767,133.9399,,L5_027,L5
333,2.9023,2.5805,0.0413,0.0433,952.7103,844.865,1.1276,714.2342,526.6877,,L5_027,L5
265,4.4612,5.5674,0.0413,0.0433,1171.288,1463.8789,0.8001,1005.966,1130.7547,,L5_027,L5
151,3.3814,2.5035,0.0413,0.0433,504.359,371.4928,1.3577,1708.649,660.351,,L5_027,L5
215,3.1026,2.5558,0.0413,0.0433,658.1906,540.1795,1.2185,1742.6465,1558.3302,,L5_027,L5
451,5.1477,4.2581,0.0413,0.0433,2302.9912,1900.8833,1.2115,1886.5743,355.9468,,L5_027,L5
457,4.3151,4.3482,0.0439,0.0531,1951.9413,1962.8809,0.9944,1262.9147,1629.4179,,L5_028,L5
401,1.4379,1.2759,0.0439,0.0531,559.0195,490.3231,1.1401,1414.9875,1606.9701,,L5_028,L5
350,4.0987,3.6496,0.0439,0.0531,1419.1795,1258.7695,1.1274,1646.6371,288.2371,,L5_028,L5
233,1.876,1.1245,0.0439,0.0531,426.8922,249.6408,1.71,1940.2403,368.4421,,L5_028,L5
336,4.3388,4.5502,0.0428,0.05,1443.4552,1512.0664,0.9546,63.8125,1517.5565,,L5_029,L5
282,4.9048,3.7843,0.0428,0.05,1371.0619,1053.0611,1.302,169.7092,724.0355,,L5_029,L5
255,3.5985,2.9091,0.0428,0.05,906.6849,729.0643,1.2436,448.4118,647.8824,,L5_029,L5
363,3.5918,3.2341,0.0428,0.05,1288.2818,1155.8107,1.1146,1606.2121,1556.0275,,L5_029,L5
342,3.1945,4.5095,0.0428,0.05,1077.8744,1525.1585,0.7067,1981.2865,1301.1959,,L5_029,L5
314,2.8699,4.5842,0.0412,0.0485,888.2101,1424.2202,0.6236,192.3089,1754.3344,,L5_030,L5
400,3.5003,3.1112,0.0412,0.0485,1383.6452,1225.1135,1.1294,1495.2375,759.5375,,L5_030,L5
356,4.013,3.2503,0.0412,0.0485,1413.9564,1139.855,1.2405,1523.1882,688.8371,,L5_030,L5
328,3.7733,3.7523,0.0412,0.0485,1224.1165,1214.86,1.0076,1768.6433,815.6585,,L5_030,L5
190,2.7145,2.0105,0.0412,0.0485,507.9267,372.7787,1.3625,1935.5421,171.5316,,L5_030,L5
383,8.2866,7.9908,0.041,0.0509,3158.0537,3041.0089,1.0385,608.0287,696.5352,,L5_031,L5
340,3.8714,3.6157,0.041,0.0509,1302.3381,1212.0554,1.0745,761.1794,1340.9147,,L5_031,L5
367,4.6473,3.4177,0.041,0.0509,1690.4991,1235.6269,1.3681,940.7057,339.4714,,L5_031,L5
146,3.7109,2.3964,0.041,0.0509,535.8041,342.4404,1.5647,1548,677.5,,L5_031,L5
439,3.4998,2.7864,0.041,0.0509,1518.3999,1200.9121,1.2644,1552.4351,1308.5604,,L5_031,L5
209,3.0747,3.2054,0.0418,0.0486,633.8833,659.7709,0.9608,304.6077,1596.1675,,L5_032,L5
142,2.9354,2.9718,0.0418,0.0486,410.8972,415.0896,0.9899,463,1654.5,,L5_032,L5
292,3.3245,3.1468,0.0418,0.0486,958.5488,904.6854,1.0595,546.9692,1032.3527,,L5_032,L5
548,5.8313,5.9372,0.0418,0.0486,3172.6821,3226.9807,0.9832,1344.2281,1033.4343,,L5_032,L5
